Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
15648;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;005;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15649;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;001;35 - 39;Extranjera;M;1;Primera Atención;;;11/06/2020
15650;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;002;18 - 24;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15651;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;115;40 - 44;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15652;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;110;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15653;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;70 - 74;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15654;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;116;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15655;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;110;>= 85;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/06/2020
15656;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;115;18 - 24;Española;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15657;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;115;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15658;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;18 - 24;Extranjera;M;2;Zona / Historia Social;;;11/06/2020
15659;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;116;18 - 24;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15660;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15661;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;110;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15662;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;122;30 - 34;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15663;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;109;25 - 29;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15664;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;111;25 - 29;Extranjera;M;1;Primera Atención;;;11/06/2020
15665;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;111;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15666;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;117;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15667;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;108;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15668;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;109;55 - 59;Extranjera;M;2;Zona / Historia Social;;;11/06/2020
15669;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;068;45- 49;Extranjera;M;1;Primera Atención;;;11/06/2020
15670;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;056;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15671;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;056;35 - 39;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15672;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;058;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15673;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;057;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/06/2020
15674;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;031;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15675;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;042;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15676;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;043;30 - 34;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15677;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;033;50 - 54;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15678;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;042;55 - 59;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15679;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;026;18 - 24;Extranjera;M;1;Primera Atención;;;11/06/2020
15680;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;034;55 - 59;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15681;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;025;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15682;75;CSS María Zayas;06;TETUÁN;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;002;40 - 44;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15683;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;084;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15684;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;081;40 - 44;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15685;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;084;55 - 59;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15686;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;084;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15687;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;085;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15688;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;072;50 - 54;Española;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15689;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;080;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15690;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;084;70 - 74;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15691;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;089;25 - 29;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15692;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;129;45- 49;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15693;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;078;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15694;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;128;60 - 64;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15695;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;129;65 - 69;Española;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15696;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;080;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15697;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;081;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15698;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;075;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15699;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;084;35 - 39;Extranjera;H;1;Primera Atención;;;11/06/2020
15700;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15701;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;069;25 - 29;Española;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15702;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;069;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15703;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;067;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15704;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;069;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15705;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;105;35 - 39;Española;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15706;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;091;45- 49;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15707;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15708;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;101;45- 49;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15709;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;65 - 69;Española;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15710;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;106;25 - 29;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15711;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;098;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15712;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;50 - 54;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15713;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;095;45- 49;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15714;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;106;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15715;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;65 - 69;Española;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15716;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;097;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15717;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;097;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;11/06/2020
15718;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;093;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15719;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;30 - 34;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15720;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;101;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15721;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;35 - 39;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15722;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;096;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15723;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;095;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15724;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;098;40 - 44;Extranjera;M;2;Zona / Historia Social;;;11/06/2020
15725;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;090;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15726;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;090;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15727;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;102;50 - 54;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15728;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15729;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;094;55 - 59;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15730;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;095;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15731;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;107;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15732;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;091;40 - 44;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15733;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;105;55 - 59;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15734;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;096;50 - 54;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15735;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;091;30 - 34;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15736;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;090;40 - 44;Española;H;2;Zona / Historia Social;;;11/06/2020
15737;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;107;50 - 54;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/06/2020
15738;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;105;25 - 29;Española;M;2;Zona / Historia Social;;;11/06/2020
15739;101;CSS Vicente Ferrer;06;TETUÁN;12;USERA ;1207;PRADOLONGO;093;50 - 54;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;11/06/2020
15740;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1102;OPAÑEL;023;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;12/06/2020
15741;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;023;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;12/06/2020
15742;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;085;45- 49;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;12/06/2020
15743;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;085;40 - 44;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15744;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;084;60 - 64;Española;H;1;Primera Atención;;;12/06/2020
15745;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;087;35 - 39;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15746;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;085;50 - 54;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15747;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;084;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;12/06/2020
15748;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;080;25 - 29;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15749;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;036;12 - 17;Española;H;2;Zona / Historia Social;;;12/06/2020
15750;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;034;30 - 34;Extranjera;M;1;Primera Atención;;;12/06/2020
15751;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;048;35 - 39;Española;M;1;Primera Atención;010;Malos Tratos;12/06/2020
15752;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;032;40 - 44;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15753;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;026;45- 49;Española;M;2;Zona / Historia Social;;;12/06/2020
15754;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15755;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15756;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;031;40 - 44;Extranjera;M;2;Zona / Historia Social;;;12/06/2020
15757;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;040;35 - 39;Española;H;1;Primera Atención;;;12/06/2020
15758;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;044;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;12/06/2020
15759;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;012;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;12/06/2020
15760;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;010;65 - 69;Extranjera;M;1;Primera Atención;;;12/06/2020
15761;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;011;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15762;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;000;55 - 59;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15763;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;006;35 - 39;Extranjera;M;2;Zona / Historia Social;;;12/06/2020
15764;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;004;18 - 24;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15765;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;010;18 - 24;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15766;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;003;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15767;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;011;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15768;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0701;GAZTAMBIDE;004;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15769;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;114;75 - 79;Española;H;1;Primera Atención;050;Desprotección socio-familiar;12/06/2020
15770;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;102;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;12/06/2020
15771;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;117;45- 49;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15772;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;117;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15773;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;106;70 - 74;Española;H;2;Zona / Historia Social;;;12/06/2020
15774;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;106;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15775;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;114;45- 49;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15776;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;098;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15777;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;094;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;12/06/2020
15778;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;100;25 - 29;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15779;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;102;55 - 59;Extranjera;M;2;Zona / Historia Social;;;12/06/2020
15780;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;108;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15781;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;102;65 - 69;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15782;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;066;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15783;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;061;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;12/06/2020
15784;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;051;30 - 34;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;12/06/2020
15785;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;061;50 - 54;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15786;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;066;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;12/06/2020
15787;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;061;45- 49;Española;M;2;Zona / Historia Social;;;12/06/2020
15788;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;065;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15789;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;063;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15790;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;066;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15791;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;067;55 - 59;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
15792;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;063;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/06/2020
